Plot,Q1,Q2,Q3,Q4,Q5,Genre
"As described in a film magazine,[3] younger son James ""Jim"" Grey (Harron) seeks to evade the draft for World War I and continue his adoration of cabaret singer Cutie Beautiful (Seymour), while older brother Ralph (Barthelmess) enlists and goes to France, where lives his sweetheart Atoline ""Blossom"" Le France (Dempster). The draft catches Jim and training makes a man out of him. When he is sent to France, Cutie promises to remain faithful. Monsieur Le France (Lestina), Blossom's father, is a Confederate from the American Civil War who now lives in France. The two brothers meet in the trenches. When Ralph and his patrol are caught in a shell hole behind German lines, Jim comes to the rescue. Blossom is threatened by a German officer, who is shot by another German soldier that she befriended. After additional adventures, the brothers return to their sweethearts, and Monsieur France swears allegiance to the American flag.",0,0,0,0,1,drama
"Egaro is also the first celluloid tribute to the eleven Mohun Bagan players who won the shield, ten of them playing barefoot clad in folded dhotis with just one of them, Sudhir Chatterjee, wearing boots against a team with the right kit, boots, dress, infrastructural support and the typical bias of the White rulers against the coloured Ruled. But Egaro is not just about football. It is about the patriotic passion that drove these eleven players to unite thousands of Indians from the entire eastern regions who flocked in from Dhaka, Burdwan, Midnapore crossing barriers of caste, class, community and language to watch the players kick and beat up the British teams on the playing field without being punished by the rulers because it was all in the game. It is about the killer spirit where the killer took prominence not because it was a fight to finish, but because the final match was a battlefield where the winning could speed the movement against Imperial rule and towards freedom. It did, in a manner of speaking. After the historic win on 29 July 1911, the British felt pressured enough to shift its capital from Calcutta to Delhi on 12 December the same year.
The film explores a parallel theme of an underground revolution brimming underneath following the Partition of Bengal in 1905 and the hanging of Khudiram Bose for attempting to kill Kingsford in 1908. Nagendra (Shankar Chakraborty) leads a group of young freedom fighters in a fight to eliminate high-ranking British officers with indigenous bombs and fire-arms without harming the old, the women and the children. He castigates one of his revolutionaries, also a Mohun Bagan player, for paying more attention to football than to the revolution. But over time, he is convinced that this final match is no less than the revolution he is leading. He comes to the finals and motivates the same member he threw out to rise and play when he faints during the match felled by one of the many false kicks of the British team.
Mohun Bagan had entered the finals after having vanquished strong teams of the British side such as Rangers, St. Xaviers and Middlesex which consolidated the team’s confidence that the British teams were not as unconquerable as they thought. East Yorkshire Regiment scored one goal before half-time sending the entire audience into a tizzy and depressing the home team. But after half-time, the team scored two goals one by Captain Sibdas Bhaduri and the other by Abhilash Ghosh, a striker. The preparation towards the final match spans a major slice of the film including family and personal hurdles the team members face. Abhilash is a student at Scottish Church College, along with teammate Rajen Sengupta. Abhilash’s father does not care about his brilliant son’s involvement in a game that might anger the British rulers. Abhilash himself begins to rethink his stance because football, he feels, has reduced his duties towards those he loves. Sudhir Chatterjee, professor in the London Missionary Society College is insulted in the staff room by his British colleagues for daring to participate in a match against a British team. The Principal suspends him indefinitely. But Shibdas is determined to win even if one or two of the team drop out at the last minute. They don't.
Two British citizens prove that they too, are human. One of them is the match referee Puller who refuses to bend under pressure by the powers-that-be to treat the match as a ‘must-win-or-else’ ego trip against native Indians. The other is Piggot, a player of the Middlesex team who was badly injured in one eye by an inadvertent kick delivered by Abhilash. He gives Abhilash a clean chit though the officers who visit him at the hospital urge him to pronounce the Indian team player’s kick as intentional.
Egaro is a sports film where reality has been intermixed with elements of fiction. This makes the film more entertaining and exciting, filled with moments of suspense, hilarity, drama and a bit of romance thrown in delicately between Abhilash and Bina and the one-sided attraction his British colleague, the beautiful Elina feels towards her colleague Sudhir. Her reactions on the field where she sits on the British side and when Mohun Bagan scores each goal, she begins to fan herself rapidly to express her joy. The reactions of the audience provide a wonderful sense of relief and bonhomie and solidarity and patriotism bonded as one. Though three of the eight players are professional football players, their acting is beyond par and one cannot make the difference between the actors and the players. The cameos are wonderfully portrayed by renowned actors of Bengali cinema, theatre and television. The revolutionary segment is a bit overdrawn and dramatic at times. The tremendous violence by the police who kill revolutionary Satyen’s grandfather in prison could have been cut out. The flames of his pyre arousing flames of anger within his granddaughter Bina is a powerful touch.
Gopi Bhagat’s cinematography in one word is brilliant. Indraneel Ghosh’s art direction reproduces the period with old mansions and homes with brick walls with the plaster peeling off, the roadside shop selling hot fritters, the college staff room, the prison cell with amazing accuracy. Mayukh-Moinak’s music is very good but the background score by Arijit Singh is a bit too loud drowning the ambient sounds and the dialogue at some places.",1,1,1,1,1,drama
"Wang Xiaojian (Liang Hongli) is a down-and-out slacker in a small town in China's industrial Shaanxi province. His father, a factory worker, has fallen ill, and prospects for both Xiaojian and his family look dim. Stuck working in his family's tailoring and laundry shop, one day, Xiaojian comes across the freshly laundered uniform of a police officer. Attempting to deliver it, he discovers that the police office who the uniform was intended had been injured and would not be back on the job for a few weeks. Wandering home, Xiaojian decides to try the uniform on.
Suddenly, Xiaojian's life begins to turn around as people mistake him for a police officer, a mistake he quickly capitalizes on. Using the uniform, Xiaojian begins stopping motorists and bus drivers in order to shake them down for bribes in order to pay for his father's medical expenses. Less noble, he uses the uniform to begin wooing a pretty clerk, Zheng Shasha (Zeng Xueqiong). As they begin seeing each other more regularly, however, it becomes clear that Xiaojian is not the only one living a double life.",0,0,0,1,0,drama
"Caught in the middle of a fierce gang war in Macao, a corrupt cop named Sam (Tony Leung Chiu-wai) handles negotiations between two Triad leaders who plan to join forces. He meets a suspicious bald man named Tony (Lau Ching-wan), who keeps following him around and disrupting his personal business. But when Sam finds out he's a suspect in a nightclub owner's murder, he's sure his stalker has something to do with it.",1,0,0,1,1,drama
"The shooting was done at Jind city in Haryana. Pannalal is employed in a clock repair shop owned by Lala Attarchand and is replaced by Kedarnath, who comes to the town of Punjab in search of such work, as according to him, his ancestors were in the same business.
On this, Pannalal curses him as being the cause of his family becoming destitute and writes a letter to him saying that this has driven him to suicide and disappears. Kedarnath is guilt-ridden and goes out of his way to help his wife Maya, and his two daughters, Veena and Vidya. Kedarnath rents a room with them, writes letters to her on behalf of her husband and teaches Veena during his free time, making him fall in love with her.
But when Maya tells him that Veena's marriage is already arranged, he helps in the marriage of Veena with the son of Daulatram. When Maya tells him that she has no money to pay for the marriage expenses, he steals cash from his employer, and tells Maya that the money is from Pannalal. He then goes away from the village.
Veena's in-laws turn out to be rogues, except for her father-in-law, who counsels his family that they should not torture the daughter of somebody. Meanwhile, Pannalal returns to his family and visits Veena's in-laws to find her in agony and brings her back.
Kedar, who now lives in Delhi, regularly sends money orders to repay his debt to Lala Attarchand. Pannalal finds out Kedar's whereabouts and requests him to come back and save dying Veena. But Kedar instead makes Veena's Husband realize his mistakes and unites the pair without appearing in person. The film ends with Kedarnath going away.",0,0,0,1,0,drama
"Gabrielle ""Gaby"" Van Der Mal (Audrey Hepburn), whose father Hubert (Dean Jagger) is a famous surgeon in Belgium, enters a convent of nursing sisters in the late 1920s in the hopes of eventually becoming a missionary nursing sister in the Belgian Congo. After being given the name of Sister Luke and undergoing a postulancy and novitiate which foreshadow her future difficulties with the vow of obedience, she takes her first vows and is sent to a school of tropical medicine.
After passing high in her class but not without some spiritual conflict, after struggling with a request by Mother Superior to purposely fail her exam as a proof of her humility, she discovers to her disappointment that she has been assigned to go not to the Congo but instead to a mental hospital, where she assists with the most difficult and violent cases though resenting her tropical medicine knowledge going to waste there. One of these patients, a particularly violent schizophrenic (Colleen Dewhurst) who believes herself to be the Archangel Gabriel, tricks her into opening the cell door in violation of the rules and warnings given, and Sister Luke barely escapes from her to face the shame of her disobedience once again.
Nevertheless, she is eventually permitted to take her final vows and sent to her wished for post of the Congo. Once there she's disappointed to learn that she will not be nursing the natives, but instead will be the operating nurse for the segregated whites/European patient hospital. She develops a strained but professional relationship with the brilliant atheistic surgeon there, Dr. Fortunati (Peter Finch). Eventually, the strains of her work and spiritual struggle cause her to succumb to tuberculosis. Fortunati, not wanting to lose the ideal nurse that Sister Luke is and sympathetic with her desire to stay in the Congo, engineers an amazing cure for the TB, a condition which otherwise always requires being sent to medical care (in Sister Luke's case back to convalesce in Europe).
Some time after Sister Luke's return to health and work, Fortunati is forced nevertheless to send her back to Belgium as the only nurse qualified to accompany a VIP who has become mentally unstable. She spends an outwardly quiet but inwardly restless period of time at the motherhouse in Brussels before the superior general finally gives her a new assignment. Because it is clear that there is going to be a war, she cannot go back to the Congo, but instead becomes a surgical nurse at a local hospital.
There Sister Luke's long struggle with obedience becomes impossible for her to sustain, as she is forced into repeated compromises to deal with the reality of the Nazi occupation, including the fact that they have killed her father. She asks for and with difficulty is granted a dispensation from her vows, and is last seen changing into lay garb and quietly leaving the convent by a back door.",1,0,0,1,0,drama
"Joey Norton, seven years old, lives with his older brother Lennie in a lower-middle-class neighborhood of Brooklyn. Joey is too small to be taken seriously by Lennie and Lennie's friends.
One day, while their mother is away visiting her sick mother, Lennie and his friends play a joke on Joey. They stage an incident using catsup and a toy gun, so that Joey thinks he has shot and killed his brother.
Joey, who is told the police will catch and imprison him, runs to the nearest elevated train station and flees to Coney Island. He seems to forget his predicament and spends the day wandering around the arcades, pony rides, beach—a little boy's paradise. He gets money for snacks by cashing in deposit bottles, and spends the night sleeping under the boardwalk. Meanwhile, Lennie is frantically trying to find him, as their mother is due home soon.
Joey loves horses, and he begins hanging around a pony ride. The proprietor of the ride becomes suspicious that Joey is a runaway. He tricks Joey into giving him his address. He calls home and alerts Lennie. Lennie comes to Coney Island and, after a frantic search, finds little Joey.
Their mother returns just after the two brothers arrive home. She is unaware of what happened, and, pleased that her two sons behaved so well during her absence, says they will have a treat that weekend: a trip to Coney Island!",0,1,0,0,1,drama
"Teenager Betty Elliott has decided to take over the business and social affairs of her father Doc Elliott. She thinks her father should marry the widowed mother, Julie Harper, of her boyfriend Chris Harper. Doc has been a real friend and father to Chris, who, under his guidance, has learned to take care of all the sick animals in town, but lack of money keeps the widow from sending Chris on to finish high school and medical training is out of the question.
Wealthy Grandpa Harper sends his attorney Baker to tell Mrs. Harper that all of Jimmy's dreams could be realized if the widow, whom the grandfather dislikes, would give up custody of her son. The lawyer also begins to court Julie and this throws a kink in Betty's plans to see her father and the widow get married.",0,1,0,0,1,drama
"Levi Rockwell is a retired, widowed Hollywood screenwriter and patriarch who reunites his entire family at his Long Island estate for his 77th birthday, but personal and social problems abound. His four children, son Rolo, and daughters Ruby, Rose and Aggie arrive, along with their spouses and children, to help him celebrate his 77th birthday. During the course of the family reunion, Levi's health begins to fail and he passes on a sentimental request that he be given a 'Viking Funeral' after his death. With his adult children consumed by their own personal worries, the grandchildren honors Levi's last wishes.",0,0,0,0,1,drama
"Stephen, a married Oxford tutor in his forties, has two students: the rich and likeable William, of whom he is fond, and a beautiful, enigmatic Austrian named Anna, whom he secretly covets. William also fancies Anna and hopes to know her better. Stephen, while his wife is away having their third child, looks up an old flame in London and they sleep together. Returning home, he finds that his pushy colleague Charley has broken in and is using it for sex with Anna. Her tryst discovered, she tells Stephen privately that she is getting engaged to William. Excited at his good fortune, William says he will call round to Stephen's house after a party that night. As William is too drunk to drive, Anna takes the wheel and crashes the car outside Stephen's gate. Upon finding the accident and William dead, Stephen pulls the deeply shaken Anna from the wreckage and hides her upstairs while he calls the police. When they have gone, he forces himself on her although she is still in shock and then takes her back to her rooms. He comes by in the morning to find a bemused Charley who cannot prevent Anna from packing to go back to Austria.",1,0,0,1,0,drama
"""The Captain"" (Michael Caine) leads a band of mercenaries who fight for the highest bidder regardless of religion. His soldiers pillage the countryside, and rape and loot when not fighting. Vogel (Omar Sharif) is a former teacher trying to survive the slaughter of civilians occurring throughout south-central Germany. Vogel runs from the Captain's forces, but eventually stumbles upon an idyllic mountain valley, untouched by war and still living in the age before the war.
The Captain and his small band are not far behind. Trapped in the valley, Vogel convinces the Captain to preserve it and the village it shelters for their own benefit, as the outside world faces famine and devastation. ""Live"", Vogel tells the Captain, ""while the army dies."" The Captain decides that his men will indeed rest here for the winter. He forces the locals to submit, especially their Headman, Gruber (Nigel Davenport). The local Catholic priest (Per Oscarsson) is livid that the mercenaries include a number of Protestants (and nihilistic atheists for that matter), but there is little he can do to sway the Captain. The mercenaries are of one mind after the Captain kills a dissenting member of his band, and religious and ethnic divisions are set aside.
At first, the locals accept their fate. Vogel is appointed judge by Gruber, to settle disputes between villagers and soldiers. As long as food, shelter, and a small number of women are provided, the mercenaries leave the locals alone. Hansen (Michael Gothard) attempts to rape a girl and, exiled from the group, manages to lead a rival mercenary band to the valley, before the winter sets in and closes the valley to all outsiders. He and his band are destroyed and the valley goes into hibernation. But as winter fades, it becomes obvious that the soldiers will have to leave. The Captain learns of a major military campaign in the Upper Rhineland and decides to leave the valley in order to participate. Vogel wants to accompany him, fearing Gruber will have him killed once The Captain leaves. However, the Captain orders Vogel to stay as the condition of not sacking the village, leaving a few men as guards.
After the Captain departs, his woman from the village, Erika (Florinda Bolkan), is caught engaging in devil-worshipping witchcraft. The priest orders her tortured and burned at the stake. Enraged and realising the evil that has destroyed so much in this war (religious fanaticism) and the role he played in it, one of the Captain's men sacrifices his life to kill the fanatic priest by pushing him into the fire. Meanwhile, the Captain and his men engage in a major siege operation. Most of his men are killed. The Captain survives long enough to return to the valley, only to find himself faced by the villagers. Vogel intervenes so that no fight happens. The Captain reports the event and dies of his battle wounds, declaring to Vogel, ""You were right. I was wrong."" A young woman from the village wants to leave with Vogel, but he tells her to stay, and runs off alone in the mist, satisfied at having saved the valley.",1,0,1,1,1,drama
An American pilot assists the Portuguese colonial police who are battling a gang of criminals involved in drug smuggling from Lisbon via Mozambique to Zanzibar.,0,0,0,0,0,drama
"Mahalakshmi (Ananya) is a servant at the residence of the elderly Amritavalli (Sheela). Everyone is really fond of her and treat her as one of the family, not a servant. However, she finds herself doing all the work in the house. She is also a great devotee of the magnificent lord Murugan. Residing in Pazhani, she is unable to attend the temple. In a dream she finds herself at her wedding with an unknown man. The next day that man comes to the house. He is none other than Amritavalli's own grandson Mano (Unni Mukundan). He falls head over heels in love with Maha. Maha, though hesitant at first, finds herself in love with him as well.
Mano constantly assures her that his mother will arrange marriage. However, as fate has it, Mano is afraid to admit to his mother Thangam (Suhasini Maniratnam) that he is in love. This encourages Thangam to fix his marriage with her childhood friend's daughter. However, when Thangam comes to know of the love affair, she is helpless and all she is able to do is encourage the lovebirds to forget each other. Soon everyone (except Amritavalli, Thangam and Mano) treat Maha in a rude way as a servant, not a family member. Maha, angry, claims to Lord Murugan that she will not face ever again.
Enters Saravanan (Dhanush). Saravanan enters as the cook appointed by Madhava Gounder (Ilavarasu). Everyone finds his cooking awesome. However, Maha disapproves as cooking was her only peaceful hobby in the house after she fell in Love. Saravanan is told to stay in the guest house where Gumbidiswamy (Vivek) is staying. Gumbidiswamy is a fraud and is now trying to pass as a presit in strong believe of god. For this reason he has stayed at their house. It did not take Saravanan long to realize that Gumbidiswamy is a fraud and he used this to blackmail him. Having this control over Gumbidiswamy, Saravanan tells him to tell everyone that according to background and religious research, Mano and his fiancee are not suitable for each other. After doing many things such as this, Saravanan is able to get Maha and Mano together. Thangam and Amritavalli agree to let Mano marry Maha. Maha and Mano (on the day of their wedding) search for Saravanan to thank him for his help. Instead of Saravanan, another person comes and says he is the only Saravanan around the area. Disappointed, Maha goes to Murugan's Altar to pray and there she sees Saravanan. He soon fades away. At that point, Maha understood that Saravanan was Murugan in human form - in the Hindu religion it is believed that god may come down to earth in a human form to help those in need.",0,0,0,1,1,drama
"The film's opening intertitle reads:
The city and the organisation are never explicitly named, but the protagonist, Johnny McQueen (James Mason), is the IRA-like group's leader in the city. Johnny has been hiding the past six months since his escape from prison in a house occupied by Kathleen Sullivan (Kathleen Ryan) – who loves him – and her grannie.
Johnny has been ordered to rob a mill to obtain funds. His men, however, are a bit uneasy about his fitness for the task, having noticed a change in him since his escape; he has expressed his new belief that negotiation might achieve their goals more effectively than violence. Dennis (Robert Beatty) offers to take his place, but Johnny turns him down.
Johnny, Nolan (Dan O'Herlihy) and Murphy get the money. As they leave, Johnny is confronted by an armed cashier. Johnny is shot in the left arm before he kills the cashier. Pat (Cyril Cusack) drives off at high speed before Johnny is fully inside the getaway car. Johnny falls off. While his confederates argue about what to do, Johnny gets up and dashes away.
Dennis orders the others to report to headquarters. Along the way, however, the trio arouse the suspicion of the police, out in force on a manhunt for the robbers. They are pursued, but get away. Pat and Nolan stop off at Theresa O'Brien's place; Murphy does not trust her and goes elsewhere. She betrays the pair to the authorities. As they leave, they are gunned down after they start shooting.
Dennis finds Johnny, but the police show up nearby. Dennis is captured after drawing them away.
Johnny makes his way toward Kathleen's place, but collapses in the street. Passersby Maureen and Maudie take him home, thinking he has been struck by a passing lorry. When they discover who he is, Johnny departs and gets into a parked hansom cab. ""Gin"" Jimmy (Joseph Tomelty), the cabdriver, comes out and starts looking for a fare, unaware he already has a wanted man for a passenger. When he finds out, he drops Johnny off as quickly as he can.
Shell (F. J. McCormick) spots him dumping the now nearly unconscious fugitive. A poor man, he goes to Catholic priest Father Tom (W. G. Fay), hoping for a financial reward. By chance, Kathleen arrives shortly afterward, looking for help. Father Tom persuades Shell to fetch Johnny. Shell, while dropping off his pet bird at home, has to fend off another resident, (the possibly mentally unstable) painter Lukey (Robert Newton), who wants him to pose some more for him. Meanwhile, Johnny revives and stumbles into a private booth in a crowded bar. Proprietor Fencie (William Hartnell) recognises him; wanting no trouble, he closes his establishment a bit early. He then recruits Shell and the persistent Lukey, who have separately converged on the bar, to take Johnny away in a cab. Over Shell's protests, Lukey takes Johnny back to his studio to paint his portrait. Failed medical student Tober (Elwyn Brook-Jones) tends to Johnny's wound as best he can. Johnny hallucinates, thinking Father Tom is talking to him. Johnny then speaks aloud (drooling crazily throughout) parts of 1 Corinthians 13, first verse 13 (""When I was a child ...""), then 1-2 (""Though I speak ... and have not charity, I am nothing."").
When a sympathetic police inspector (Denis O'Dea), who had earlier led a search of Katleen's home and warned her against getting involved, shows up to try to get information from Father Tom, Kathleen slips away. She arranges passage on a ship for Johnny and goes searching for him. Shell starts Johnny toward Father Tom's, then goes ahead and encounters Kathleen. She takes Johnny to the ship, but finds the police closing in. Johnny is too far gone to see them. When he asks, ""Is it far?"", Kathleen replies, ""It's a long way, Johnny, but I'm coming with you."" She then draws a gun and starts firing, forcing the policemen to shoot back, killing them both.",1,0,1,1,1,drama
"When the film begins we find Alice White stranded several hundred miles away from New York with a burlesque troupe. She receives a telegraph that her boyfriend, played by David Manners, is in jail. White boards a train headed for New York without a ticket because she has no money. When the conductor discovers she has no ticket she is almost thrown off the train. A detective, played by Robert Elliott, befriends White and offers to let White borrow the money she needs for a ticket. When she arrives in New York she finds that Manners has been bailed out by a friend and is working for Kenneth Thomson, playing as a gangster who runs a nightclub. White is disappointed to find that her boyfriend is working for criminals. She gets some money from Manners to pay back Elliott for the money he gave her for a train ticket. Elliott notices that she is paying with bills that have been reported stolen. White confesses everything she knows to the detective about her boyfriend and his new employer. Elliott asks White to get a job at the nightclub so that she can get evidence against the gangsters and in return he promises to clear her boyfriend of any wrongdoing. White easily gets a job singing and dancing at the club. Eventually she hears plans about a bank robbery and reports everything to Elliott. When the gangster attempt to rob the bank they realize that the police are watching and waiting and conclude that someone has informed the police ahead of time. Thompson suspects that White has informed the police. In order to save her, Manners implicates himself and the gangsters get ready to stage an accidental suicide for him. They plan to throw Manners out of the window of Thompson's penthouse apartment. White informs the police and arrives in the nick of time to save Manners. Thompson, realizing now that the police have ample evidence against him, attempts to escape and is shot by the police. Manners and White are happily reunited and the film ends.",0,1,0,1,1,drama
"Charles Bremer (Norman Kaye) is a wealthy, reclusive man. He finds erotic satisfaction in the beauty of art, flowers, and a young woman (Alyson Best), who undresses for him. During the undressings he listens to operatic music such as Donizetti's ""Lucia di Lammermoor"".[3] Throughout the film, he reads letters he has sent to his mother. His mother had long since died, and the letters, it is later revealed, are addressed to himself.",1,0,0,0,0,drama
"Hong Yunsheng is a jobless wanderer in Fujian. Attempting to find a better life in the United States, he enters the country as an undocumented worker. While there, however, his American dream quickly falls apart when he and his boss's daughter have a child. He was then told not to visit his son and he is made to sign a paper which is like a contract. He violates that by continuing to visit his son. Enraged, Hong's boss informs the INS and has him deported back to Fujian.
Back home, Hong again takes up his old habits, wandering around the town, unemployed and listless. At the same time, he attempts to find romance with a traveling opera performer, Wu Ruifang. Eventually he hears that the child he fathered in the United States is coming to Fujian. Desiring to see the child he has never known, Hong and his boss argue until eventually Hong takes desperate measures and kidnaps the boy.",0,0,0,1,0,drama
"The film starts with a proposal of remaking Satyajit Ray's famous Nayak by a debutant director and storywriter Shuvobrata (Indraneil Sengupta) to famous Bengali actor Arun Chatterjee (Prosenjit). Arun approves Shuvobrata's proposal and agrees to finance the project. Shuvobrata requests his live-in girlfriend Srinandita or Shrin (Nandana Sen) to act opposite Arun. In the meantime, Arun and Shrin become close friends and Arun tells her about various incident from his past in an emotionally triggered condition. The exchange is videotaped accidentally and Shuvobrata on discovering it leaks it to the press, without Srinandita's consent, as a publicity stunt for the film. Srinandita leaves Shuvobrata on learning of this indiscretion. Arun, furious about the leak, bars the film from being released. Arun later learns that Shrin had no role in the leak and apologizes to her. The movie ends with Shrin leaving a note and a phone number for Arun at a roadside dhaba where they had met earlier.",0,0,0,1,0,drama
"In 1922, Scott Mason Carter (Mel Ferrer) graduates from Chase Medical School in Chicago and promptly marries Marcia (Beatrice Pearson). Both are light-skinned enough to be mistaken for whites. Scott has found an internship for himself, but his fellow graduate, the dark-skinned Jesse Pridham (Ray Saunders), wonders if he will have to work as a Pullman porter until there is an opening in a black hospital.
When Scott appears for work in Georgia, the black hospital director tells him that the board of directors has decided to give preference to Southern applicants and rescinds the job offer. Marcia insists her husband continue searching for another medical job. In the meantime, they live in Boston with Marcia's parents, who have successfully been passing as white. Her father and some of their black friends suggest they do the same. Instead, Scott continues to apply as a Negro and is repeatedly rejected. Scott finally yields, quits his job making shoes, and masquerades as white for a one-year internship in Portsmouth, New Hampshire.
There, Scott responds to an emergency. At an isolated lighthouse, he has to operate immediately on a sport fisherman who is bleeding to death from a penetrating ulcer. His patient turns out to be Dr. Walter Bracket (Morton Stevens), the well-known director of a local clinic. Impressed, Dr. Bracket offers Scott a position as town doctor in Keenham, a fictionalized version of Keene, New Hampshire), where he will replace Bracket's recently deceased father. Scott declines the offer, explaining that he is a Negro. Dr. Bracket, though he admits he would not have made the offer had he known, recommends Scott take the job without revealing his race. With his wife pregnant, Scott reluctantly agrees. Scott and Marcia worry how their child will appear at birth and are relieved that he appears as white as they do. When the local rector and his wife welcome Scott and Marcia to Keenham, Marcia tells them her boy will be named after Scott's mentor, Dr. Charles Howard. The rector tells Marcia he once met a doctor by that name, but that was a black man, so he suggests she means a different Dr. Howard. Scott slowly earns the trust and respect of the residents.
By 1942, when the United States enters World War II, the Carters are pillars of the community. Their son, Howard, attends the University of New Hampshire, while daughter Shelly (Susan Douglas Rubeš) is in high school. The Carters have managed to keep their secret from the community, as well as from their own children. Scott goes to Boston once a week to work at the Charles Howard Clinic, which Jesse Pridham and he established for patients of all races. Howard invites a black classmate, Arthur Cooper (William Greaves), to visit his family in Keenham. Shelly worries aloud what her friends will think about a ""coon"" staying in their home. Scott sternly orders her never to use that word again. When Arthur goes to a party with Howard, some guests make bigoted remarks behind his back.
Scott and Howard enlist in the Navy, but after Scott's background is investigated, his commission as a lieutenant commander is suddenly revoked for ""failure to meet physical conditions"". The only position in the Navy for blacks is as a steward. The Carters have no choice but to reveal their secret to their children. Howard breaks up with his white girlfriend and disappears. He roams the streets of Harlem and rents a room there. When Shelly's boyfriend Andy asks her what she is going to do about the ""awful rumor"" circulating about her family, Shelly confesses that it is true. Her boyfriend asks her to the school dance anyway, but she rejects the invitation. In Harlem, Howard investigates screams coming from a tenement building and finds two black men fighting. When one is knocked down and the other pulls out a gun, Howard intervenes. The gun goes off and the gunman flees, but Howard is taken into custody. To a sympathetic black police lieutenant (Canada Lee), Howard explains, ""I came here to find out what it's like to be a Negro."" Arthur Cooper collects his friend from the police station.
Howard goes to his father's clinic. Scott tells him: ""I brought you up as white. There's no reason why you shouldn't continue to live that way."" Howard and his father return to Keene. When they attend their regular Sunday church service, the minister preaches a sermon of tolerance, then notes that the Navy has just ended its racist policy. The congregation sings a hymn using the words of New England poet James Russell Lowell: ""Once to ev'ry man and nation/Comes the moment to decide,/In the strife of truth with falsehood/For the good or evil side."" The narrator announces that Scott Carter remains the doctor for a small New Hampshire town.",1,0,1,1,1,drama
Tragic Anna Karenina (Russian: «Анна Каренина»; Russian pronunciation: [ˈanːə kɐˈrʲenʲɪnə])[1] leaves her cold husband for the dashing Count Vronsky in 19th-century Russia. The unfortunate series of events leave her hopelessly depressed.,1,0,0,1,0,drama
"The film is set in a boys' school in Kurseong.[1] The story revolves around the life of school teacher Jayabrata Ray, played by Saswata Chatterjee, who has gone blind due to a sudden retinal disorder. He must now rely on his sense of hearing. After becoming irritable and helpless due to the situation, how he tries to stop the school being sold and how he tackles the situation himself (as his friends are turning foes) becomes the issue of the story.[4]",0,0,0,0,1,drama
